,Title,Published_date,Views,Likes,Comments,likes,Month
0,I tested the BULLETPROOF iPhone.,2022-02-24,1470278,110656,9074,110656,Feb
1,Samsung S22 Ultra vs S21 / iPhone 13 Pro Max / Pixel 6 Pro / Xiaomi 12 Pro Battery Life Drain Test!,2022-02-15,2979825,141055,15881,141055,Feb
2,Samsung S22 Ultra vs iPhone 13 Pro Max Camera Test,2022-02-14,3343220,165387,12218,165387,Feb
3,The Samsung S22 Ultra is secretly AMAZING.,2022-02-09,5250266,242253,14614,242253,Feb
4,How Apple AirTags are becoming Dangerous ⚠️,2022-02-04,3254408,160469,7806,160469,Feb
5,NFTs Explained - The BIG Problem.,2022-02-02,3131739,192860,14616,192860,Feb
6,Escobar launched a new product - it’s their WORST ever.,2022-01-22,3080817,170391,8975,170391,Jan
7,21 Heavenly Inventions to save the WORLD.,2022-01-15,3529193,214755,11168,214755,Jan
8,Realme GT 2 Pro - The Record-Breaking 2022 Flagship⚡️,2022-01-05,3313981,163730,9885,163730,Jan
9,19 TOXIC Tech Fails that will last Forever.,2021-12-31,5679341,239534,11975,239534,Dec
10,50 Facts about me | Mrwhosetheboss,2021-12-24,4128419,311651,11835,311651,Dec
11,Oppo Find N Unboxing - Did they just kill Samsung!?,2021-12-15,4501032,197283,11759,197283,Dec
12,I bought the BIGGEST Tech in the world.,2021-12-04,5304115,259213,18875,259213,Dec
13,Unboxing WORLD'S FIRST Next-Gen 2022 phone.,2021-11-30,2551458,161313,13615,161313,Nov
14,How this Robot changed my life. 🤖,2021-11-28,1590374,105723,6106,105723,Nov
15,The BEST Smartphones of 2021 🔥,2021-11-26,3403721,183927,12531,183927,Nov
16,I tested 15 Gadgets from the FUTURE.,2021-11-21,5929141,261371,9599,261371,Nov
17,Unboxing a phone from Space.,2021-11-19,4784606,234712,12926,234712,Nov
18,The Metaverse could be a problem.,2021-11-13,3629136,223264,33410,223264,Nov
19,The most PRO phone money can buy.,2021-11-07,4605200,230623,15072,230623,Nov
20,Galaxy S22 Ultra - Samsung's FINALLY doing it.,2021-10-30,6004585,233939,14386,233939,Oct
21,Huawei is BACK....But there's a problem 💀,2021-10-26,3041388,161770,10946,161770,Oct
22,Google Pixel 6 Pro vs iPhone 13 Pro CAMERA Test.,2021-10-25,5601692,231257,14101,231257,Oct
23,I'm worried about humanity's future.,2021-10-16,4088757,339301,32386,339301,Oct
24,25 Inventions that are Out of this World. 🌏,2021-10-06,5316281,239552,14676,239552,Oct
25,Vivo X70 Pro Plus - SO MUCH Camera 😂,2021-09-30,3717105,189170,12112,189170,Sep
26,iPhone 13 PRO Review - The Final Verdict.,2021-09-28,3251755,158268,14199,158268,Sep
27,iPhone 13 Pro Max vs 13 Pro / 13 / 13 Mini / 12 / 11 / SE - Battery Life DRAIN TEST,2021-09-24,8805646,273225,25551,273225,Sep
28,iPhone 13 Pro Max vs Samsung Galaxy S21 Ultra CAMERA TEST 🔥,2021-09-22,7386510,295223,25741,295223,Sep
29,iPhone 13 Unboxing - Are they ACTUALLY Good!?,2021-09-21,4508740,219852,19764,219852,Sep
30,iPhone 13 - What was Apple Thinking?,2021-09-15,7211929,323278,21104,323278,Sep
31,What you didn't know about Tesla.,2021-09-09,3805372,227846,11018,227846,Sep
32,How Tech Companies Manipulate the Media ft. MKBHD,2021-08-31,4900486,348171,14864,348171,Aug
33,I bought the CHEAPEST Tech in the World 🌍,2021-08-22,7855085,269292,11699,269292,Aug
34,Why Samsung is losing to Xiaomi.,2021-08-14,2992409,174067,24512,174067,Aug
35,Galaxy Z Fold 3 - What was Samsung Thinking!?,2021-08-11,4524983,203936,13087,203936,Aug
36,24 HOTTEST Inventions that will change your Life.,2021-08-08,6735054,310576,13052,310576,Aug
37,Calyx OS - The next big Android Competitor!?,2021-08-01,3743338,201322,11891,201322,Aug
38,Nothing Ear 1 Review - The Problem with Hype.,2021-07-29,3006336,173872,9818,173872,Jul
39,Do NOT buy the Freedom Phone!! 🤬,2021-07-24,4197524,241265,19693,241265,Jul
40,22 NIGHTMARE Tech FAILS they want us to forget.,2021-07-22,8533796,293258,18027,293258,Jul
41,Dear Apple.,2021-07-10,4610124,246359,24682,246359,Jul
42,How many Spy Cameras are Recording you right now?,2021-07-01,4152142,237018,10765,237018,Jul
43,Who has the WORST Customer Service?,2021-06-24,3784736,217224,15553,217224,Jun
44,STOP Buying this Tech Scam.,2021-06-16,4733504,246203,16447,246203,Jun
45,OnePlus Nord CE Unboxing!,2021-06-10,2486526,149529,13177,149529,Jun
46,How Cryptocurrency ACTUALLY works.,2021-06-06,5593813,266766,43579,266766,Jun
47,I bought the SMALLEST Tech in the world.,2021-06-03,12122468,387173,18564,387173,Jun
48,The BEST Smartphones of 2021! (Mid Year),2021-05-21,8702745,284163,20910,284163,May
49,Zenfone 8 - The most boring INCREDIBLE phone ever.,2021-05-12,3434168,190834,12926,190834,May
